id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
2,"2018 Copa Sudamericana, Second Phase",Sao Paulo,Colon (Santa Fe),0,1,69, 31,0,,17,11,2,2,1,0,2,1,4,2
3,2019 Brasileirao,Chapecoense,Internacional,2,0,43, 57,7,,15,11,1,1,0,0,0,2,3,5
4,"2020 Campeonato Paulista, Temporada Regular",Santos,Mirassol,3,1,51, 49,4,,13,13,1,1,0,0,1,2,8,8
5,2019 Brasileirao,Corinthians,Atletico-MG,1,0,45, 55,6,,9,14,1,1,0,0,0,1,10,4
6,"2019-20 Campeonato Carioca, 2019 Brazil Carioca - Taca Guanabara",Resende,Flamengo,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,2020 Brasileiro Serie A,Botafogo,Fortaleza,1,2,58, 41,0,,16,15,1,1,0,0,2,2,15,9
8,2022 Brasileiro Serie A,Athletico-PR,Avai,2,1,42, 58,3,,23,17,6,6,0,0,1,0,5,4
9,Regular Season,Botafogo SP,America-MG,0,0,54, 46,4,,18,16,2,2,0,0,1,1,6,4
10,"2018 Copa Do Brasil, Third Round",Red Bull Bragantino,Vitoria,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,"2019 Brazilian Campeonato Miniero, Brasil Mineiro",Atletico-MG,America-MG,3,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,Regular Season,Brasil de Pelotas,Red Bull Bragantino,0,1,40, 60,3,,12,23,3,3,0,0,2,0,8,6
13,2021 Brasileiro Serie B,Ponte Preta,Goias,2,1,33, 67,4,,19,16,1,1,0,0,0,3,6,3
14,"2019 Campeonato Gaucho, Regular Season",Avenida,Internacional,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2020-21 Brasileiro Serie B,Cuiaba,Confianca,1,0,51, 48,0,,16,19,1,1,0,0,5,1,5,3
16,2022 Brasileiro Serie A,Coritiba,Fortaleza,2,1,37, 63,6,,11,22,3,3,1,0,1,1,2,6
17,2019 Brasileirao,Bahia,Gremio,1,0,43, 57,1,,8,10,2,2,0,0,0,5,10,4
18,"2022 Campeonato Paulista, Temporada Regular",Sao Bernardo,Palmeiras,1,1,30, 70,3,,15,11,1,1,0,0,2,0,5,11
19,2021 Brasileiro Serie A,Palmeiras,Bahia,3,2,57, 43,2,,10,16,4,4,0,0,6,1,7,7
20,2019 Recopa Sudamericana,Athletico-PR,River Plate,1,0,50, 50,1,,17,23,3,3,0,1,4,1,2,6
21,2019 Brasileirao,Internacional,Cruzeiro,3,1,53, 47,5,,10,14,0,0,0,1,0,0,4,3
22,2019 Brasileirao,Botafogo,Cruzeiro,0,2,56, 44,1,,15,15,3,3,0,0,1,1,12,4
23,2021 Brasileiro Serie A,Athletico-PR,Sport,0,0,59, 41,3,,10,9,1,1,0,1,2,3,9,7
24,Brasileirao 2018,Fluminense,Cruzeiro,1,0,32, 68,6,,13,19,2,2,1,0,0,3,1,7
25,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Corinthians,Santo Andre,0,2,71, 29,0,,15,13,2,2,0,0,1,2,9,3
26,Brasileirao 2017,Vitoria,Sao Paulo,1,2,44, 56,5,,21,16,2,2,0,0,3,1,3,8
27,Regular Season,Coritiba,Guarani,1,0,37, 63,2,,21,14,1,1,0,0,2,2,6,7
28,2021 Brasileiro Serie A,America-MG,Cuiaba,0,0,57, 43,3,,16,16,1,1,0,0,2,3,3,2
29,"2020 Campeonato Gaucho, Second Round - Group Stage",Internacional,Aimore,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2019 Brasileirao,Goias,Gremio,3,2,45, 55,4,,21,8,1,1,0,0,1,2,7,4
31,"2022 Copa do Nordeste, Group Stage",Floresta,Fortaleza,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,2022 Brasileiro Serie B,Cruzeiro,Ponte Preta,2,0,58, 42,3,,11,11,1,1,0,1,3,2,7,4
33,2017 Serie B,Vila Nova-GO,Internacional,2,1,37, 63,1,,12,18,4,4,1,0,2,1,3,4
34,Brasileirao 2017,Athletico-PR,Vasco da Gama,3,1,42, 58,4,,8,8,2,2,0,0,1,0,7,5
35,2022 Brasileiro Serie B,Vila Nova-GO,Cruzeiro,1,0,32, 68,1,,13,13,2,2,0,0,1,0,6,7
36,Regular Season,Cuiaba,Sao Bento,3,2,47, 53,5,,24,14,3,3,0,0,2,1,5,12
37,Brasileirao 2017,Ponte Preta,Vasco da Gama,0,0,50, 50,0,,17,16,4,4,0,0,2,0,7,2
38,"2019 Copa Libertadores, Group Stage",Athletico-PR,Boca Juniors,3,0,46, 54,3,,13,13,3,3,0,0,0,2,6,2
39,"2017 Copa Do Brasil, Semifinals",Gremio,Cruzeiro,1,0,48, 52,4,,16,18,3,3,0,0,0,1,3,2
40,2022 Brasileiro Serie B,Gremio,Nautico,2,0,62, 38,1,,14,22,6,6,0,0,0,1,3,1
41,2017 Serie B,America-MG,Guarani,0,0,50, 50,3,,8,11,1,1,0,0,0,2,6,1
42,2017 Serie B,Internacional,Londrina,3,1,65, 34,0,,14,15,2,2,0,0,0,1,25,10
43,2020 Brasileiro Serie A,Palmeiras,Flamengo,1,1,59, 41,3,,14,16,2,2,0,0,1,0,5,4
44,2021 Brasileiro Serie A,Atletico-MG,Sport,3,0,60, 40,1,,18,13,3,3,0,0,0,3,6,4
45,"2019 FIFA Club World Cup, Final",Liverpool,Flamengo,1,0,47, 53,3,,22,16,2,2,0,0,3,6,5,7
46,2022 Brasileiro Serie B,Cruzeiro,Tombense,2,0,66, 34,1,,14,12,2,2,0,0,2,1,7,4
47,2021 Brasileiro Serie A,Palmeiras,Gremio,2,0,47, 53,4,,15,16,2,2,0,0,2,0,4,5
48,Regular Season,Paysandu,Fortaleza,0,1,47, 53,2,,19,11,2,2,0,0,1,5,5,7
49,2021 Brasileiro Serie A,Chapecoense,Red Bull Bragantino,0,3,44, 56,5,,9,12,0,0,0,0,0,2,5,7
50,2021 Brasileiro Serie B,Goias,CRB,1,0,36, 64,3,,29,14,3,3,0,0,1,0,6,8
51,"2021 Campeonato Carioca, Brasil Carioca - Semifinals",Fluminense,Portuguesa-RJ,3,1,46, 54,2,,23,15,5,5,0,0,1,2,6,5
52,2020 Brasileiro Serie A,Coritiba,Atletico-MG,0,1,48, 52,1,,14,19,3,3,0,0,0,2,4,4
53,2022 Brasileiro Serie A,Botafogo,Sao Paulo,1,0,33, 67,2,,17,17,3,3,0,0,1,4,3,3
54,Regular Season,Guarani,Fortaleza,2,3,39, 61,1,,7,12,2,2,0,0,1,0,4,6
55,2019 Brasileirao,Avai,Athletico-PR,0,0,38, 62,8,,12,15,1,1,0,0,2,5,2,6
56,2022 Brasileiro Serie A,Red Bull Bragantino,Sao Paulo,1,1,33, 67,6,,13,12,2,2,0,0,1,2,6,9
57,"2021 Copa Do Brasil, First Round",Boavista,Goias,3,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,"2019 Campeonato Paulista, Finals",Sao Paulo,Corinthians,0,0,57, 43,1,,15,16,1,1,0,0,0,0,10,2
59,2019 Brasileirao,Gremio,Avai,6,1,52, 48,3,,18,9,1,1,0,0,0,0,6,2
60,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Vasco da Gama,Macae,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,2019 Brasileirao,Atletico-MG,Sao Paulo,1,1,69, 31,2,,13,17,4,4,0,0,0,0,12,5
62,"2020 Campeonato Paulista, Temporada Regular",Santos,Palmeiras,0,0,52, 48,1,,22,12,1,1,0,0,1,5,7,4
63,2022 Brasileiro Serie A,Ceara,Coritiba,1,1,51, 49,4,,14,9,4,4,0,0,4,1,5,6
